Entidad,Sector,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01
Tlaxcala,Construcción ,76.84557495,75.6932748,85.30667828,64.77744709,65.43135091,72.82131313,67.24900323,61.90678549,81.49681254,78.69391351,50.29962179,115.4956146,129.3389983
Tlaxcala,Industrias manufactureras ,104.2845686,103.0346296,108.1106186,106.118,108.8857675,108.1632501,107.0708366,107.3992603,114.0296502,114.8340544,113.0574682,108.2668772,112.6041846
Veracruz de Ignacio de la Llave,Actividades secundarias ,90.74992367,85.81291229,90.72160191,91.59857545,89.29352163,85.14465009,93.85703524,93.11070624,90.5555299,89.83979863,81.84517249,87.93820417,92.12052439
Veracruz de Ignacio de la Llave,Minería ,68.19837077,61.49097762,67.49547484,66.85636262,68.38111807,66.97426498,69.34175101,66.76156266,75.43667965,65.30944071,61.66132497,65.50082354,65.19297853
Veracruz de Ignacio de la Llave,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",106.8857539,100.709009,106.3905099,106.393743,103.9691002,100.6873081,110.445509,109.0993868,104.5112141,100.9521652,107.0700714,108.7751081,95.11081937
Veracruz de Ignacio de la Llave,Construcción ,78.39179843,87.17258004,78.81199237,77.20672469,84.91766954,91.4640569,102.0206731,94.40603029,96.98361734,101.1405732,82.54459746,86.56993023,84.64898958
Veracruz de Ignacio de la Llave,Industrias manufactureras ,104.4285348,92.65318421,104.4871634,107.5011596,98.02701692,86.61949996,96.69235204,100.6430559,90.97349699,91.71427165,85.8810532,94.68844257,106.7292404
Yucatán,Actividades secundarias ,128.6107034,126.0584849,123.4674716,122.5230768,126.8812677,126.3131824,130.453804,130.7154367,133.3349254,130.8213403,126.8761903,127.2426692,128.1107778
Yucatán,Minería ,127.2666549,122.4557498,116.3225836,114.7069917,117.9570851,110.2282165,121.9315953,125.5364137,120.3926115,117.8459305,118.2955865,115.0609208,106.9119629
Yucatán,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",73.10954022,86.53267733,89.82831674,111.3905615,105.3150364,107.5367066,101.0639528,112.5076478,109.9161892,98.40168688,112.9679704,110.3072107,112.576189
Yucatán,Construcción ,138.0688172,139.2904578,116.3204169,112.5155143,115.2520895,113.6614443,131.1845826,122.1406996,127.5802231,120.5119066,111.1342204,107.964642,116.4290886
Yucatán,Industrias manufactureras ,131.753476,122.3029331,137.6464197,134.5557476,142.7170481,142.7474299,136.3873036,142.8412496,144.2045746,147.8957464,144.9021647,149.3533944,143.1111265
Zacatecas,Actividades secundarias ,100.2040263,95.712054,102.2120277,97.67280251,97.8269355,96.97279532,101.9654079,91.48352645,88.55067139,90.90021505,93.56722014,94.17256888,91.86313756
Zacatecas,Minería ,86.18440391,75.61978019,85.54733162,79.87405354,73.41224503,69.52822894,77.10825887,60.66339707,60.4366782,60.38707384,66.82306332,68.39421265,69.96656571
Zacatecas,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",88.1436863,98.48925752,80.41985206,86.57082832,88.05677001,91.3098551,87.38560845,91.35038501,89.35851838,84.13928942,88.49059922,85.14900108,90.89049506
Zacatecas,Construcción ,93.7716685,106.4340731,106.7681191,98.63010595,109.978283,115.5464827,123.6042881,114.5799792,105.8340326,114.5409357,116.3519293,120.2806379,105.2590272
Zacatecas,Industrias manufactureras ,136.1615928,127.488203,134.8883803,134.7934783,138.5660647,137.8601453,135.692637,134.7745201,131.3047778,133.7527427,129.2074644,125.2694061,125.384383
Aguascalientes,Actividades secundarias ,143.4232529,133.7634342,136.8073141,124.3563692,133.3049942,133.9347951,120.7755521,139.8041409,137.4297172,146.718298,146.7864903,122.0797414,122.9262091
